record_idx,sample_id,session,prompt_tokens,completion_tokens,total_tokens
5,conv-43,D14,1362,616,1978
5,conv-43,D15,1995,1243,3238
5,conv-43,D16,1381,467,1848
5,conv-43,D17,1248,777,2025
5,conv-43,D18,1034,534,1568
5,conv-43,D19,1714,850,2564
5,conv-43,D20,1866,772,2638
5,conv-43,D21,1356,739,2095
5,conv-43,D22,1300,794,2094
5,conv-43,D23,1183,573,1756
5,conv-43,D24,1203,534,1737
5,conv-43,D25,1174,554,1728
5,conv-43,D26,1821,891,2712
5,conv-43,D27,1931,1076,3007
5,conv-43,D28,1103,578,1681
5,conv-43,D29,1115,457,1572
6,conv-44,D1,1211,643,1854
6,conv-44,D2,1358,853,2211
6,conv-44,D3,1576,800,2376
6,conv-44,D4,1615,885,2500
6,conv-44,D5,1277,629,1906
6,conv-44,D6,1195,602,1797
6,conv-44,D7,1066,633,1699
6,conv-44,D8,1550,900,2450
6,conv-44,D9,1463,584,2047
6,conv-44,D10,1785,904,2689
6,conv-44,D11,1742,659,2401
6,conv-44,D12,1182,628,1810
6,conv-44,D13,1384,795,2179
6,conv-44,D14,1604,845,2449
6,conv-44,D15,1255,870,2125
6,conv-44,D16,1235,749,1984
6,conv-44,D17,1290,606,1896
6,conv-44,D18,1398,731,2129
6,conv-44,D19,1585,823,2408
6,conv-44,D20,1881,717,2598
6,conv-44,D21,1119,441,1560
6,conv-44,D22,1269,653,1922
6,conv-44,D23,1630,932,2562
6,conv-44,D24,1248,833,2081
6,conv-44,D25,1217,717,1934
6,conv-44,D26,1956,813,2769
6,conv-44,D27,1281,947,2228
6,conv-44,D28,1343,718,2061
7,conv-47,D1,1830,1357,3187
7,conv-47,D2,1320,773,2093
7,conv-47,D3,1359,706,2065
7,conv-47,D4,1370,571,1941
7,conv-47,D5,1092,790,1882
7,conv-47,D6,1361,730,2091
7,conv-47,D7,1282,669,1951
7,conv-47,D8,1801,841,2642
7,conv-47,D9,1346,778,2124
7,conv-47,D10,1081,628,1709
7,conv-47,D11,1301,816,2117
7,conv-47,D12,1140,514,1654
7,conv-47,D13,1204,535,1739
7,conv-47,D14,1647,921,2568
7,conv-47,D15,1242,761,2003
7,conv-47,D16,1120,737,1857
7,conv-47,D17,1739,938,2677
7,conv-47,D18,1224,835,2059
7,conv-47,D19,1107,492,1599
7,conv-47,D20,1532,1160,2692
7,conv-47,D21,1159,689,1848
7,conv-47,D22,1297,812,2109
7,conv-47,D23,1334,696,2030
7,conv-47,D24,1305,858,2163
7,conv-47,D25,1487,846,2333
7,conv-47,D26,1128,773,1901
7,conv-47,D27,1044,385,1429
7,conv-47,D28,1707,783,2490
7,conv-47,D29,1143,579,1722
7,conv-47,D30,1153,700,1853
8,conv-48,D1,1088,933,2021
8,conv-48,D2,1458,1128,2586
8,conv-48,D3,985,553,1538
8,conv-48,D4,2124,1018,3142
8,conv-48,D5,1133,806,1939
8,conv-48,D6,1040,666,1706
8,conv-48,D7,1343,882,2225
8,conv-48,D8,1246,776,2022
8,conv-48,D9,1127,561,1688
8,conv-48,D10,1346,770,2116
8,conv-48,D11,1083,720,1803
8,conv-48,D12,1120,733,1853
8,conv-48,D13,1350,793,2143
8,conv-48,D14,1174,650,1824
8,conv-48,D15,1932,939,2871
8,conv-48,D16,1248,706,1954
8,conv-48,D17,1015,822,1837
8,conv-48,D18,1133,614,1747
8,conv-48,D19,1539,1153,2692
8,conv-48,D20,1298,912,2210
8,conv-48,D21,1205,805,2010
8,conv-48,D22,1764,1175,2939
8,conv-48,D23,1479,962,2441
8,conv-48,D24,1153,899,2052
8,conv-48,D25,1030,851,1881
8,conv-48,D26,1147,578,1725
8,conv-48,D27,1130,713,1843
8,conv-48,D28,1476,725,2201
8,conv-48,D29,1588,1297,2885
8,conv-48,D30,1248,806,2054
9,conv-49,D1,1170,526,1696
9,conv-49,D2,1249,712,1961
9,conv-49,D3,1221,593,1814
9,conv-49,D4,1219,802,2021
9,conv-49,D5,1366,642,2008
9,conv-49,D6,1309,569,1878
9,conv-49,D7,1264,742,2006
9,conv-49,D8,1631,1044,2675
9,conv-49,D9,1357,865,2222
9,conv-49,D10,1157,631,1788
9,conv-49,D11,1418,855,2273
9,conv-49,D12,1185,552,1737
9,conv-49,D13,1126,547,1673
9,conv-49,D14,1273,799,2072
9,conv-49,D15,1108,644,1752
9,conv-49,D16,1554,790,2344
9,conv-49,D17,1437,792,2229
9,conv-49,D18,1112,387,1499
9,conv-49,D19,1170,535,1705
9,conv-49,D20,1170,553,1723
9,conv-49,D21,1376,715,2091
9,conv-49,D22,1257,704,1961
9,conv-49,D23,1628,909,2537
9,conv-49,D24,1505,731,2236
9,conv-49,D25,1347,785,2132
10,conv-50,D1,1179,686,1865
10,conv-50,D2,1305,577,1882
10,conv-50,D3,1323,734,2057
10,conv-50,D4,1538,749,2287
10,conv-50,D5,1275,742,2017
10,conv-50,D6,1229,542,1771
10,conv-50,D7,1387,764,2151
10,conv-50,D8,1204,681,1885
10,conv-50,D9,1314,648,1962
10,conv-50,D10,1304,680,1984
10,conv-50,D11,1291,862,2153
10,conv-50,D12,1276,795,2071
10,conv-50,D13,1273,523,1796
10,conv-50,D14,1207,659,1866
10,conv-50,D15,1142,788,1930
10,conv-50,D16,1410,634,2044
10,conv-50,D17,970,552,1522
10,conv-50,D18,1229,771,2000
10,conv-50,D19,1142,550,1692
10,conv-50,D20,1254,541,1795
10,conv-50,D21,1353,705,2058
10,conv-50,D22,1187,661,1848
10,conv-50,D23,1470,727,2197
10,conv-50,D24,1537,699,2236
10,conv-50,D25,1826,883,2709
10,conv-50,D26,1263,582,1845
10,conv-50,D27,1117,600,1717
10,conv-50,D28,2049,1003,3052
10,conv-50,D29,1324,694,2018
10,conv-50,D30,1487,718,2205
