split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5,train_fraction
103,ablation_intrinsic_only,736,0.6755124460508606,0.5801630434782609,0.7391304347826086,0.7961956521739131,0.6
103,ablation_full,736,0.6793455141529682,0.5910326086956522,0.7350543478260869,0.7907608695652174,0.6
107,type_aware,736,0.6075227754346096,0.5081521739130435,0.6616847826086957,0.7214673913043478,0.6
107,ablation_intrinsic_only,736,0.6678515728657658,0.5679347826086957,0.7336956521739131,0.7961956521739131,0.6
107,ablation_full,736,0.6521615166586411,0.5529891304347826,0.7105978260869565,0.779891304347826,0.6
109,type_aware,736,0.6096269857742447,0.5054347826086957,0.6698369565217391,0.7336956521739131,0.6
109,ablation_intrinsic_only,736,0.6683167539831559,0.5760869565217391,0.7282608695652174,0.782608695652174,0.6
109,ablation_full,736,0.6658332184387968,0.5733695652173914,0.7160326086956522,0.7866847826086957,0.6
113,type_aware,736,0.6152738786208196,0.5095108695652174,0.6793478260869565,0.7432065217391305,0.6
113,ablation_intrinsic_only,736,0.6757297217123573,0.5815217391304348,0.7432065217391305,0.7866847826086957,0.6
113,ablation_full,736,0.6638176821115476,0.563858695652174,0.7323369565217391,0.7880434782608695,0.6
127,type_aware,736,0.6172555627448432,0.5149456521739131,0.6793478260869565,0.7404891304347826,0.6
127,ablation_intrinsic_only,736,0.681174089918926,0.5842391304347826,0.75,0.8002717391304348,0.6
127,ablation_full,736,0.6620342381399026,0.5625,0.7241847826086957,0.779891304347826,0.6
131,type_aware,736,0.5989107695065927,0.49320652173913043,0.6535326086956522,0.7241847826086957,0.6
131,ablation_intrinsic_only,736,0.6660479289207499,0.563858695652174,0.7282608695652174,0.7880434782608695,0.6
131,ablation_full,736,0.6616384151487725,0.5625,0.7241847826086957,0.7785326086956522,0.6
137,type_aware,736,0.6220678704012195,0.5203804347826086,0.6739130434782609,0.7377717391304348,0.6
137,ablation_intrinsic_only,736,0.6846999212124634,0.5896739130434783,0.7527173913043478,0.8029891304347826,0.6
137,ablation_full,736,0.6890109636130565,0.595108695652174,0.75,0.8057065217391305,0.6
139,type_aware,736,0.6173314453362069,0.5122282608695652,0.6739130434782609,0.7309782608695652,0.6
