feature,importance,split_id
hybrid_rr,0.06414833590374538,record_02
hybrid_score,0.07144056691515074,record_02
importance_score,0.017280483379047838,record_02
keyword_present,0.002545959878916961,record_02
keyword_rr,0.025726283028032093,record_02
keyword_score,0.02805796452269445,record_02
memory_type=activity,2.871975990155058e-05,record_02
memory_type=belief,3.489292141480086e-05,record_02
memory_type=education,0.00033044059263151427,record_02
memory_type=emotion,0.0018019120490763013,record_02
memory_type=event,0.006731365784130998,record_02
memory_type=family,0.0030916337710147263,record_02
memory_type=goal,0.004800586942800247,record_02
memory_type=habit,1.3102203855738471e-06,record_02
memory_type=health,0.0018322598055957164,record_02
memory_type=hobby,0.004096719997975798,record_02
memory_type=identity,0.0023126632946903806,record_02
memory_type=other,0.0008853753764207996,record_02
memory_type=plan,0.003691493111439331,record_02
memory_type=preference,0.003798820603441608,record_02
memory_type=project,1.555144611089914e-17,record_02
memory_type=relationship,0.003707777142086558,record_02
memory_type=skill,1.9430997331563386e-05,record_02
memory_type=social,0.0,record_02
memory_type=work,0.003020735645733388,record_02
memory_type_score,0.00866816587013043,record_02
persona_score,0.009650303372657626,record_02
persona_weight,0.009582684288571144,record_02
persona_x_type,0.00989456223627988,record_02
query_type=1,0.03274520241824662,record_02
query_type=2,0.005029560149155004,record_02
query_type=3,0.005869815179529425,record_02
query_type=4,0.01510318335003062,record_02
query_type=5,0.009385319407186375,record_02
recency_gate,0.0021153794385243845,record_02
recency_x_decay,0.003182375145143973,record_02
semantic_score,0.07313150759296541,record_02
semantic_x_keyword,0.03780134380827849,record_02
time_aware_present,0.008989665527270424,record_02
time_aware_rr,0.07925329328759066,record_02
time_aware_score,0.07649015826200176,record_02
time_decay,0.05293302159744461,record_02
type_aware_present,0.013287312845100622,record_02
type_aware_rr,0.06902628170738294,record_02
type_aware_score,0.07835501764864229,record_02
vector_present,0.01007722108240918,record_02
vector_rr,0.06040418087704929,record_02
vector_score,0.05631141737831321,record_02
entity_score,0.019992659476894343,record_03
hybrid_present,0.004576055624101188,record_03
hybrid_rr,0.06705741869159644,record_03
hybrid_score,0.07561345600787589,record_03
importance_score,0.01745340788250569,record_03
keyword_present,0.003562396253122042,record_03
keyword_rr,0.025229734538597316,record_03
keyword_score,0.026882776317104527,record_03
memory_type=activity,0.0,record_03
memory_type=belief,2.976959057252416e-05,record_03
memory_type=education,0.0004550398890463829,record_03
memory_type=emotion,0.0020341671308169874,record_03
memory_type=event,0.006224091085522531,record_03
memory_type=family,0.003317606237177308,record_03
memory_type=goal,0.00402013330142609,record_03
memory_type=habit,3.9586136360458715e-06,record_03
memory_type=health,0.0021332524026861357,record_03
memory_type=hobby,0.004004787998708889,record_03
memory_type=identity,0.0024462854352510347,record_03
memory_type=other,0.000731868802416192,record_03
memory_type=plan,0.003597217964509459,record_03
memory_type=preference,0.003670521130267696,record_03
memory_type=project,6.191788221097339e-07,record_03
memory_type=relationship,0.0036628694408076794,record_03
memory_type=skill,1.9162820248409184e-06,record_03
memory_type=social,0.0,record_03
memory_type=work,0.0036098725315117574,record_03
memory_type_score,0.009013153421476443,record_03
persona_score,0.00937690284982354,record_03
persona_weight,0.010272875375454764,record_03
persona_x_type,0.009766139266325231,record_03
query_type=1,0.034573728704368485,record_03
query_type=2,0.005037526485137058,record_03
query_type=3,0.005103683025067419,record_03
query_type=4,0.013208222052371552,record_03
query_type=5,0.009194470645338324,record_03
recency_gate,0.0021156155515565634,record_03
recency_x_decay,0.0026602638871899586,record_03
semantic_score,0.07393698160837091,record_03
semantic_x_keyword,0.03816109835306534,record_03
time_aware_present,0.008927212621467692,record_03
time_aware_rr,0.07491364216517031,record_03
time_aware_score,0.07214313425980894,record_03
time_decay,0.05184838078556065,record_03
type_aware_present,0.013389822936233082,record_03
type_aware_rr,0.06821256449689606,record_03
type_aware_score,0.08356111376963474,record_03
vector_present,0.00898268237449433,record_03
vector_rr,0.05844620549201843,record_03
vector_score,0.05684269806616923,record_03
entity_score,0.01852704485888756,record_04
hybrid_present,0.005848886101003618,record_04
hybrid_rr,0.05770605609786584,record_04
hybrid_score,0.045418483968770004,record_04
importance_score,0.01837139999542943,record_04
keyword_present,0.004128666229938784,record_04
keyword_rr,0.03163872176717088,record_04
keyword_score,0.0220065166676135,record_04
