label,path,exists,size_bytes,line_count,sha256,checksum_status
Type3 supervised selector rwn002 summary,outputs/agent_memory_type3_supervised_set_selector_rwn002_summary.csv,True,1073,6,a47f2196eb67f1fb02a81ab1c9add7fb602d3c3772733c63e2b256967338f296,ok
Type3 supervised selector rwn002 coverage summary,outputs/agent_memory_type3_supervised_set_selector_rwn002_coverage_summary.csv,True,2031,6,8e0ad02b1fa4fdb7b45c5bf1dda40dd62203dceff27e8756c4b6177b28ed1229,ok
Type3 supervised selector rwn002 per-query,outputs/agent_memory_type3_supervised_set_selector_rwn002_per_query.csv,True,39667,631,b01ac8bcd5cdc35fa96ad7763d104e1f9e35d9297f03905445e937c8e83dfb4d,ok
Type3 supervised selector rwn002 coverage,outputs/agent_memory_type3_supervised_set_selector_rwn002_coverage.csv,True,66755,631,00e053ab2545ef442eda98a1f609759fef87f7c1095eb7c9abd8f4efafddf6e6,ok
Type3 supervised selector rwn002 comparison,outputs/agent_memory_type3_supervised_set_selector_rwn002_comparison_per_query.csv,True,41037,631,15439b76b86599579daf66768acac13e7c74f0460ec49f98aa40af6fdb05b0d2,ok
Type3 supervised selector rwn002 ranked top20,outputs/agent_memory_type3_supervised_set_selector_rwn002_ranked_top20.csv,True,725694,5041,dc41431e087acc249e50b4ec6e7efe4231ea4e110d52b5991f6a8d2cf8b509ef,ok
Type3 coverage-aware reranker report,outputs/agent_memory_type3_coverage_aware_zh.md,True,1764,38,48e381ab329d150e17865db6eb951ff386e38398b150b9f19a407749b5759809,ok
Type3 coverage-aware reranker summary,outputs/agent_memory_type3_coverage_aware_summary.csv,True,1368,4,df41c4a7ae5f825531fc9082047e3c38a563137a78ecdcec5fef19f4280406dd,ok
Type3 coverage-aware reranker deltas,outputs/agent_memory_type3_coverage_aware_deltas.csv,True,409,3,c9d960e7e2ff57ad1d6b30ea2ad9386ea82b7325bbe151b03959eee6347b274c,ok
Type3 intent-facet fusion report,outputs/agent_memory_type3_intent_fusion_zh.md,True,6275,55,c332bea3941fefd1064f217151909443685a935a9cb076ff3d6296e710128270,ok
Type3 intent-facet fusion summary,outputs/agent_memory_type3_intent_fusion_summary.csv,True,2352,8,bd5500bc171937129463b98ffb5f7c15bff7866b223d9ffd3de032e5717d7696,ok
Type3 intent-facet fusion deltas,outputs/agent_memory_type3_intent_fusion_deltas.csv,True,1093,7,30c24d2e373955975ff80747952ecba6c1baa1276cc9f5ef9627286a895d9ca0,ok
Type3 intent-facet fusion facets,outputs/agent_memory_type3_intent_fusion_facets.csv,True,41579,127,eb41f35617720efc21335ae472fc8f474ba03ddc4549ee4047f81e2fd8eaf663,ok
Type3 rescue-space report,outputs/agent_memory_type3_rescue_space_zh.md,True,2483,41,cc50de9db0253041140324be867a786fa7fb2e9d27b53507bd0bfceda8051fa2,ok
Type3 rescue-space summary,outputs/agent_memory_type3_rescue_space_summary.csv,True,556,2,8bfec718b850f533fe7aefff0b4019bddd2522df3db02fa365190029371b1325,ok
Type3 rescue-space classes,outputs/agent_memory_type3_rescue_space_classes.csv,True,605,5,2119557f6d93d99b62f009b2cccfc5e6f26e988511f9490613263f783e704f07,ok
Type3 supervised window report,outputs/agent_memory_type3_supervised_window_zh.md,True,2198,49,216994479c72b58af12f5822457fc83629ea8e04b92c09cd9a4c9058cc8056b0,ok
Type3 supervised window summary,outputs/agent_memory_type3_supervised_window_summary.csv,True,806,3,39476428427b063c257262391f44b72d1597a27ac1a222fab3325cc035fbd72a,ok
Type3 supervised window deltas,outputs/agent_memory_type3_supervised_window_deltas.csv,True,280,2,86d520adcca936fe49514016106f9ddb2e6bd615e51a840139e348ecd3af9471,ok
Type3 supervised window selected params,outputs/agent_memory_type3_supervised_window_selected_params.csv,True,435,6,8172a77716977af4b8beb2b165dc0976d7d6fee5e6d3df9b288b173dce0a6e33,ok
Type3 supervised window feature importance,outputs/agent_memory_type3_supervised_window_feature_importance.csv,True,1574,27,6b74e6d7b133def492eac5e0aaf1301d0749a9b13ababe6126a509fa45a327e0,ok
Type3 recall expansion report,outputs/agent_memory_type3_recall_expansion_zh.md,True,2304,33,3666e65fbe17311d3f9b935e7f84582452ae1d69dafca27e16b26afb0b8751bd,ok
Type3 recall expansion summary,outputs/agent_memory_type3_recall_expansion_summary.csv,True,6085,19,acd49a1297769fc4553216dca595673c46d52659f3ef5c999c75452169a8b536,ok
Type3 recall expansion deltas,outputs/agent_memory_type3_recall_expansion_deltas.csv,True,2769,18,fc00573d7a95c48ab7d84fea8106706f41c02f79cb0e112f24c81039a336a1cb,ok
Type3 expanded-pool selector report,outputs/agent_memory_type3_expanded_pool_selector_zh.md,True,2117,34,3ca5051c13128e63685f31d572aedd95b5b5151ec5f77ea7d2eb4c489da0f1b3,ok
Type3 expanded-pool selector summary,outputs/agent_memory_type3_expanded_pool_selector_summary.csv,True,1830,5,32abd21437bb601ebaa1618d48071546b002dddaff947c72ff99893f307fd66e,ok
Type3 expanded-pool selector deltas,outputs/agent_memory_type3_expanded_pool_selector_deltas.csv,True,996,4,c14c5a563a8b6459ad1c01ee1de0b966cb074244e994905a371b6c7fa4489f7e,ok
Type3 learned expanded selector report,outputs/agent_memory_type3_learned_expanded_selector_zh.md,True,2396,51,7dc18b3a25ebb5ba125965fc25e018abba4086b0a507ccd1ff998d4381e79e62,ok
Type3 learned expanded selector summary,outputs/agent_memory_type3_learned_expanded_selector_summary.csv,True,1472,4,28cc06fe6750054ea158f5b25213cf3fa20bc94cca7dc4657fff5b02e98c4946,ok
Type3 learned expanded selector deltas,outputs/agent_memory_type3_learned_expanded_selector_deltas.csv,True,391,3,12b3e2bf5b2cde9c2fc8f5703e95b48747d7ded85ae0cab2336976f38e89fc99,ok
Type3 learned expanded selector selected params,outputs/agent_memory_type3_learned_expanded_selector_selected_params.csv,True,584,6,ebc22989d523823a7e4c740dd5325c6e0f6e1b36344c51ce43fe2093b96d6ede,ok
Type3 learned expanded selector weights,outputs/agent_memory_type3_learned_expanded_selector_weights.csv,True,2681,35,662de2664989b70971fb832e48f4760a2fdad274878ff3df35c1c6eecfa9d15d,ok
Paper tables Markdown,outputs/agent_memory_paper_tables_zh.md,True,3724,97,858492c8a2dd54434aef41a01a0fb3a66070a6d52ed4eaefb2756f7eb57c0f5e,ok
Paper tables LaTeX,outputs/agent_memory_paper_tables.tex,True,5197,170,374a8b1897b8d36610ed45e72036b89bf87cffdee355f70eb57a10c942718330,ok
Paper table consistency audit,outputs/agent_memory_paper_table_consistency_zh.md,True,3343,36,6e594899f920a3548e2c54aee5065c4be28e00952b3049a233cb7c3f18b00435,ok
Paper table consistency audit CSV,outputs/agent_memory_paper_table_consistency.csv,True,3737,18,a380145d0c64b1a1249bd97199c342a49e0f06c590639b7de9501a9e848efcee,ok
Paper evidence matrix,outputs/agent_memory_paper_evidence_matrix_zh.md,True,11836,55,6bee9baa716e9f3372f57021dae2c4e1857141cc25fed3e8b787de084a32c16c,ok
Paper draft outline,outputs/agent_memory_paper_draft_outline_zh.md,True,7485,107,05eb0d33111d17bf609f91a329fe1aa090a0cff29550eefc55f680aa66694cff,ok
Paper manuscript draft,outputs/agent_memory_manuscript_draft_zh.md,True,12830,123,9eae311b6b82e9d68e009f4281e86fb22bb95332f9f50db80124491bf591f682,ok
Paper manuscript claim check,outputs/agent_memory_manuscript_claim_check_zh.md,True,2065,24,089d6c23d6aab179eda9401175ca2fac5091935ef7c15c3737e57193556b5c9b,ok
Paper manuscript claim check CSV,outputs/agent_memory_manuscript_claim_check.csv,True,1622,10,d04fbf3c9d0fe8146cff7d3b5bef89c5e01b239d73a4b2d9308d0d2c6f276c17,ok
Paper manuscript numeric claim check,outputs/agent_memory_manuscript_numeric_claim_check_zh.md,True,3116,36,361cf773b0086074d380d5341b399fbb5d697ba8a638fe89fff9a5f94d6303e8,ok
Paper manuscript numeric claim check CSV,outputs/agent_memory_manuscript_numeric_claim_check.csv,True,11685,16,15cf7bc0398b69b10a97bea3986f2a206150428f283c13c1fc1451445921a126,ok
Paper scope claim audit,outputs/agent_memory_paper_scope_claim_audit_zh.md,True,11366,67,a7a3350e3d5b245437c82e456a1f256383e2419f34ac22bd3b084454e11199ec,ok
Paper scope claim audit CSV,outputs/agent_memory_paper_scope_claim_audit.csv,True,10190,48,8237dd78d940e42b9f4f9f044c68bc40a1a29f83423c7355df9b8257823a36b6,ok
Threats to validity appendix,outputs/agent_memory_threats_to_validity_zh.md,True,5872,35,6d4fb1795b8779a3ebb3509192284b0a514581bf22a9136f082c056246b8e896,ok
Threats to validity CSV,outputs/agent_memory_threats_to_validity.csv,True,3236,9,ac563e81b1a540951a84748b5ca6e1948cfa3cda096a8fb7f38889c132402d54,ok
Reviewer response preparation matrix,outputs/agent_memory_reviewer_response_prep_zh.md,True,4885,32,d4f76f76fc8ff1a38097c606cbbdc2e0b55ef44b4c5a2d5d431c9a85bdef34c4,ok
Reviewer response preparation matrix CSV,outputs/agent_memory_reviewer_response_prep.csv,True,4844,9,50b212bc603799ec40f555da7139dc9760cdbe0145f50d5537d4d05f75f8a793,ok
Submission package index,outputs/agent_memory_submission_package_index_zh.md,True,8532,49,57b94c843ce9164b8f97f8afe045e3567078b2125d7add1caa6cb70bd829732c,ok
Submission package index CSV,outputs/agent_memory_submission_package_index.csv,True,9837,31,f4697f42e762c82960f36395a785beb4c06ba7d89603db76f8e059ee99661fc6,ok
Supplementary package manifest,outputs/agent_memory_supplementary_package_manifest_zh.md,True,5054,55,3cdeaa424e2ce91549057b1dabdc555a7fae5916891ce00c5837d742bef3ea92,ok
Supplementary package manifest CSV,outputs/agent_memory_supplementary_package_manifest.csv,True,8552,31,6e48f73cc498dbbf5792e9066373b9d9f0f9104973ae16f6991bb0ff1be2a1cf,ok
Submission package consistency audit,outputs/agent_memory_submission_package_consistency_zh.md,True,2352,29,8fb71a35eae74c7dddd28d98213fc18c9556fd8c8b09e67db978ffebb1d19404,ok
Submission package consistency audit CSV,outputs/agent_memory_submission_package_consistency.csv,True,1551,10,4ae6a68828640f7e5729ddae477836e4e3d14e10878bc74ae2dd455e60d8bafc,ok
Anonymous submission readiness audit,outputs/agent_memory_anonymous_submission_readiness_zh.md,True,1759,26,417ca88d594ab6aa1f40a5373c060a7cd0e08beee42bf49d11418d1ade6628df,ok
Anonymous submission readiness audit CSV,outputs/agent_memory_anonymous_submission_readiness.csv,True,829,6,06ba0492b347dde211bb85b954c6a8bc617fe6597577f53517d9b4b16c9c4597,ok
Submission entrypoint consistency audit,outputs/agent_memory_submission_entrypoint_consistency_zh.md,True,2106,28,c8073b14e1b948ec7d1e1cbf11959fb832d45b29bae40fd537d64c45df509f0e,ok
Submission entrypoint consistency audit CSV,outputs/agent_memory_submission_entrypoint_consistency.csv,True,1487,10,ea0dfd106d9991e57fa899c2016533eb5e4215af072df7f48b0727474ff0ab52,ok
